recipe_id,R,v,WR,Title
692,4.955056179775281,178,4.9360461765767205,Chef John's Crème Fraîche
479,4.929577464788732,71,4.8886010024249815,Chef John's Grilled Mojo Beef
716,4.920454545454546,88,4.887517155065546,Simple Crème Brûlée Dessert
671,4.933333333333334,60,4.885381159948908,French Apple Cake
326,4.967741935483871,31,4.877480029181062,Elk Steak Marinade
6,4.877584780810587,1209,4.875288499750964,My Amish Friend's Caramel Corn
256,4.87782340862423,974,4.874976302028886,Good New Orleans Creole Gumbo
499,4.904109589041096,73,4.867188930077392,Pacific Cuban Black Beans and Rice
711,4.863247863247863,585,4.858784338145249,Chef John's Coq au Vin
807,4.854700854700854,1638,4.853141190046372,Greek Baklava
267,4.8558558558558556,444,4.850168901313708,Chef John's Shrimp Étouffée
5,4.856573705179283,251,4.846653950944152,Amish Friendship Bread Starter
470,5.0,16,4.845256969093214,Easy Mojitos
371,4.954545454545454,22,4.843021287388235,Sausage and Pepper Penne
469,4.883333333333334,60,4.842524017091765,Chef John's Cuban Sandwich
823,4.845945945945946,370,4.839412318937957,Lemon Chicken Orzo Soup
311,4.842335766423358,685,4.838815368627948,Boneless Buffalo Wings
813,4.9523809523809526,21,4.8379574579491464,Greek Horiatiki Salad
127,4.909090909090909,33,4.836667004567989,Almond Cookies (Dim Sum Variety)
262,4.850299401197605,167,4.836026447437421,Cajun Chicken Pasta
363,4.923076923076923,26,4.832685588789543,Maple Butter Tarts
427,4.831155778894472,995,4.828832518603407,General Tso's Chicken
417,4.841379310344828,145,4.8256560077188615,Chinese Pork Dumplings
488,4.862068965517241,58,4.8231864881826985,Cuban Chicken
1,4.836477987421383,159,4.82234722601434,Cheesy Amish Breakfast Casserole
196,4.838235294117647,136,4.821758090386463,Chef John's Brazilian Fish Stew
207,4.944444444444445,18,4.820595757015127,Chef John's Brazilian Feijoada
826,4.824,250,4.815294927678552,Easy Baklava
293,4.824884792626728,217,4.814875247561337,Deep-Fried Turkey Marinade
477,4.9411764705882355,17,4.813951155423094,Ropa Vieja (Cuban Beef)
882,4.814550641940086,1402,4.813014646739677,Mulligatawny Soup
699,4.815326633165829,796,4.81262615533055,Dessert Crepes
717,4.827067669172933,133,4.811025742632333,Restaurant-Style French Onion Soup
582,4.815217391304348,368,4.809462119567257,Traditional Filipino Lumpia
853,4.904761904761905,21,4.805699393433017,Lamb (Gosht) Biryani
260,4.811145510835913,323,4.804734778367638,Creole Seasoning Blend
672,4.833333333333333,72,4.8045936731271155,Tarte Tatin
715,4.805104408352668,2586,4.804305347148083,Classic Chicken Cordon Bleu
312,4.836065573770492,61,4.8024884675552615,Maritime Donair Sauce
188,4.828947368421052,76,4.802054432516552,Coconut Coconut Milk Cake
415,4.803738317757009,856,4.801358754268388,Sweet and Sour Pork
316,4.821052631578947,95,4.7997779161564145,Best Fried Walleye
325,4.84,50,4.7996113532737255,Instant Pot Baked Beans
848,4.9,20,4.799222706547451,Mediterranean Orzo Salad
270,4.81294964028777,139,4.7985012160833795,Authentic New Orleans Red Beans and Rice
712,4.810457516339869,153,4.797402952125298,"Chicken French (Rochester, NY Style)"
583,4.827586206896552,58,4.793774723476816,Chicken Arroz Caldo (Chicken Rice Porridge)
670,4.837209302325581,43,4.792012852762708,Galette des Rois
348,4.82089552238806,67,4.791904950602903,Mom's Nova Scotia Seafood Chowder
816,4.82258064516129,62,4.7913427943947715,Avgolemono Soup
