recipe_id,recipe,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
1,Cheesy Amish Breakfast Casserole,10 mins,55 mins,1 hr 15 mins,12,314,23g,12g,22g
2,Best Vinegar Coleslaw,15 mins,5 mins,20 mins,8,224,9g,35g,2g
3,Pennsylvania-Dutch Pickled Beets and Eggs,15 mins,30 mins,2 days 45 mins,8,252,5g,45g,7g
4,Amish Macaroni Salad,15 mins,10 mins,1 hr 25 mins,6,532,25g,66g,9g
5,Amish Friendship Bread Starter,30 mins,N/A,10 days 40 mins,120,34,0g,8g,1g
6,My Amish Friend's Caramel Corn,20 mins,1 hr 10 mins,1 hr 30 mins,30,238,16g,22g,3g
7,Pennsylvania Dutch Corn Pie,30 mins,55 mins,1 hr 25 mins,8,423,19g,57g,10g
8,Amish Peanut Butter,5 mins,N/A,5 mins,24,74,3g,12g,1g
9,Amish Meatloaf,15 mins,1 hr,1 hr 15 mins,8,464,21g,46g,24g
10,Amish Potato Salad,30 mins,20 mins,50 mins,8,497,31g,49g,9g
11,Amish Friendship Bread,10 mins,50 mins,1 hr,16,119,6g,16g,2g
12,Amish Buttered Egg Noodles,5 mins,15 mins,50 mins,6,260,7g,41g,9g
13,Amish Sugar Cakes,15 mins,12 mins,30 mins,30,186,8g,27g,2g
14,Amish Casserole,20 mins,35 mins,55 mins,6,630,30g,57g,33g
15,Herman Sourdough Starter,30 mins,N/A,6 days 22 hrs 40 mins,8,382,2g,82g,9g
16,Ground Cherry Pie II,15 mins,40 mins,55 mins,8,214,8g,34g,2g
17,Portzelky (New Year's Cookies),15 mins,20 mins,2 hrs 5 mins,48,72,2g,12g,2g
18,Amish Peach Dumplings,15 mins,30 mins,45 mins,8,190,2g,41g,3g
19,Amish Bread,5 mins,55 mins,5 hrs,12,58,5g,4g,0g
20,Amish Custard Cottage Cheese Pie,15 mins,40 mins,3 hrs 55 mins,16,220,10g,26g,8g
21,Amish Baked Oatmeal,10 mins,25 mins,35 mins,8,375,18g,50g,7g
22,Rollkuchen (Mennonite Fritters),15 mins,20 mins,35 mins,16,80,4g,9g,2g
23,Amish Friendship Cake,15 mins,45 mins,1 hr,24,256,11g,34g,6g
24,Amish Tomato Pie,1 hr,1 hr 15 mins,3 hrs 30 mins,8,469,37g,19g,17g
25,Amish Salisbury Steak,15 mins,1 hr 10 mins,9 hrs 25 mins,5,322,19g,9g,28g
26,Wet-Bottom Shoofly Pie,30 mins,40 mins,1 hr 10 mins,8,407,12g,73g,5g
27,Our Most Traditional Amish and Mennonite Recipes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Amish Friendship Banana Nut Bread,15 mins,1 hr 15 mins,1 hr 40 mins,30,160,7g,23g,3g
29,Easy Pork and Sauerkraut,15 mins,6 hrs,6 hrs 15 mins,5,139,4g,12g,13g
30,Amish Cinnamon Bread,10 mins,1 hr,1 hr 10 mins,36,155,9g,18g,2g
31,Amish Apple Dumplings,20 mins,45 mins,1 hr 5 mins,6,924,32g,161g,6g
32,Yellow Pickled Eggs,15 mins,25 mins,4 days 40 mins,12,141,5g,18g,7g
33,Amish Hash Browns,25 mins,15 mins,40 mins,10,231,14g,23g,4g
34,Kimberly's Curried Deviled Eggs,15 mins,15 mins,1 hr,12,73,6g,1g,3g
35,Amish Buttermilk Biscuits,10 mins,15 mins,25 mins,7,223,9g,30g,5g
36,Lower Fat Amish Macaroni Salad,15 mins,10 mins,2 hrs 55 mins,12,228,5g,38g,7g
37,Amish Friendship Chocolate Bread,10 mins,1 hr,1 hr 10 mins,24,170,10g,18g,2g
38,Amish Yumazuti,30 mins,1 hr,1 hr 30 mins,6,422,17g,46g,23g
39,7 Ways to Use Your Amish Friendship Bread Starter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,Lemon Poppy Seed Amish Friendship Bread,N/A,N/A,N/A,24,157,6g,25g,2g
41,Pumpkin Custard Pie I,N/A,N/A,N/A,8,228,8g,34g,6g
42,Amish Country Casserole,15 mins,40 mins,55 mins,6,551,29g,42g,31g
43,Amish Potato Soup,25 mins,1 hr,1 hr 25 mins,5,460,25g,34g,25g
44,Amish Butter and Egg Dinner Rolls,30 mins,20 mins,2 hrs 40 mins,12,172,5g,28g,4g
45,Amish Blackberry and Strawberry Baked Oatmeal,10 mins,30 mins,40 mins,12,337,15g,48g,4g
46,Sushi Party,3 hrs,30 mins,3 hrs 30 mins,12,516,12g,88g,13g
47,Milk Flitcher Pie,5 mins,30 mins,35 mins,8,358,11g,63g,3g
48,Simple Stovetop Amish Chicken,15 mins,1 hr,1 hr 15 mins,6,658,25g,67g,40g
49,Amish Chocolate Cake,15 mins,30 mins,1 hr 15 mins,12,228,9g,33g,4g
50,Healthier Amish Friendship Bread Starter,30 mins,10 mins,9 days 40 mins,120,33,0g,8g,1g
51,Amish Buttermilk Pie,20 mins,1 hr,1 hr 20 mins,12,194,8g,28g,4g
52,Red Pepper and Cabbage Pickle,45 mins,1 hr 30 mins,10 hrs 15 mins,48,106,5g,15g,2g
53,Moist Herman Coffee Cake,N/A,N/A,N/A,36,204,10g,27g,2g
54,Amish Chocolate Pudding,5 mins,15 mins,20 mins,8,274,4g,58g,4g
55,Gera's Amish Funny Cake,25 mins,30 mins,55 mins,16,343,15g,50g,5g
56,Quick Banana Nut Cake,15 mins,30 mins,45 mins,12,273,12g,38g,4g
57,Cherry Amish Friendship Bread Cupcakes with Buttercream Frosting,20 mins,20 mins,1 hr 10 mins,24,366,20g,46g,3g
58,Keufels (Original),30 mins,20 mins,50 mins,24,138,9g,14g,2g
59,Amish Brown Sugar Cake,15 mins,35 mins,50 mins,18,254,10g,39g,3g
60,Amish Cran-Apple Pie,20 mins,40 mins,1 hr,8,379,19g,50g,4g
61,Chef John's Chimichurri Sauce,15 mins,N/A,15 mins,4,255,27g,3g,1g
